Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AR,GB,XX,,7,ivory carvings,,T,U
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1,,ivory carvings,sets,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,1,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,JP,XX,,8,ivory carvings,,Q,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,1,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,US,XX,,3,ivory carvings,,P,W
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,VU,XX,,12,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,3,ivory pieces,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,AU,XX,1,,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,1,,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,1,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,1,1,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,CA,1,,ivory carvings,,L,I
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1,ivory carvings,sets,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,2,,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1,ivory carvings,,S,I
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,1,,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,IN,2,1,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,1,2,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,,1,tusks,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,1,1,ivory carvings,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,2,ivory carvings,kg,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1,ivory carvings,sets,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2,2,ivory carvings,,E,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1,ivory carvings,,P,U
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2,3,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,1,,ivory pieces,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,2,4,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1,,ivory carvings,sets,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1,,ivory carvings,sets,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,,1,ivory carvings,,Q,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,,1,ivory pieces,,P,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IT,XX,1,,ivory pieces,,Q,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,RU,XX,1,,ivory carvings,,Q,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SG,XX,,1,ivory carvings,,Q,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SG,XX,1,,ivory carvings,,T,O
2006,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,US,XX,1,,ivory carvings,,Q,O
