Month,trends
2006-01,35
2006-02,44
2006-03,42
2006-04,37
2006-05,39
2006-06,51
2006-07,29
2006-08,34
2006-09,32
2006-10,32
2006-11,28
2006-12,30
2007-01,33
2007-02,35
2007-03,36
2007-04,34
2007-05,33
2007-06,36
2007-07,33
2007-08,33
2007-09,31
2007-10,30
2007-11,36
2007-12,30
2008-01,35
2008-02,34
2008-03,33
2008-04,34
2008-05,33
2008-06,36
2008-07,37
2008-08,33
2008-09,36
2008-10,35
2008-11,38
2008-12,40
2009-01,42
2009-02,44
2009-03,43
2009-04,49
2009-05,37
2009-06,34
2009-07,34
2009-08,33
2009-09,33
2009-10,33
2009-11,33
2009-12,32
2010-01,41
2010-02,34
2010-03,39
2010-04,37
2010-05,38
2010-06,67
2010-07,33
2010-08,34
2010-09,37
2010-10,35
2010-11,35
2010-12,45
2011-01,54
2011-02,42
2011-03,48
2011-04,64
2011-05,41
2011-06,36
2011-07,39
2011-08,37
2011-09,39
2011-10,36
2011-11,38
2011-12,37
2012-01,45
2012-02,43
2012-03,41
2012-04,42
2012-05,41
2012-06,41
2012-07,39
2012-08,39
2012-09,38
2012-10,34
2012-11,41
2012-12,34
2013-01,43
2013-02,39
2013-03,42
2013-04,44
2013-05,42
2013-06,39
2013-07,42
2013-08,45
2013-09,47
2013-10,41
2013-11,44
2013-12,38
2014-01,43
2014-02,40
2014-03,44
2014-04,42
2014-05,43
2014-06,100
2014-07,42
2014-08,44
2014-09,51
2014-10,50
2014-11,44
2014-12,42
2015-01,44
2015-02,46
2015-03,43
2015-04,48
2015-05,49
2015-06,53
2015-07,54
2015-08,59
2015-09,67
2015-10,60
2015-11,64
2015-12,62
2016-01,57
2016-02,58
2016-03,67
2016-04,59
2016-05,55
2016-06,50
2016-07,51
2016-08,52
2016-09,65
2016-10,49
2016-11,59
2016-12,56
2017-01,56
2017-02,51
2017-03,56
2017-04,53
2017-05,50
2017-06,46
2017-07,47
2017-08,49
2017-09,46
2017-10,49
2017-11,59
2017-12,50
