Category: All categories

Month,ivory: (United States)
2006-01,39
2006-02,43
2006-03,40
2006-04,39
2006-05,40
2006-06,50
2006-07,37
2006-08,31
2006-09,37
2006-10,34
2006-11,32
2006-12,32
2007-01,33
2007-02,32
2007-03,36
2007-04,36
2007-05,35
2007-06,37
2007-07,34
2007-08,33
2007-09,34
2007-10,32
2007-11,30
2007-12,30
2008-01,35
2008-02,35
2008-03,32
2008-04,34
2008-05,36
2008-06,36
2008-07,39
2008-08,38
2008-09,37
2008-10,38
2008-11,39
2008-12,42
2009-01,45
2009-02,43
2009-03,44
2009-04,49
2009-05,39
2009-06,35
2009-07,37
2009-08,33
2009-09,33
2009-10,37
2009-11,35
2009-12,29
2010-01,41
2010-02,33
2010-03,39
2010-04,37
2010-05,41
2010-06,71
2010-07,31
2010-08,36
2010-09,36
2010-10,37
2010-11,34
2010-12,49
2011-01,55
2011-02,47
2011-03,50
2011-04,61
2011-05,42
2011-06,37
2011-07,40
2011-08,38
2011-09,39
2011-10,37
2011-11,39
2011-12,39
2012-01,47
2012-02,43
2012-03,42
2012-04,42
2012-05,41
2012-06,41
2012-07,40
2012-08,42
2012-09,39
2012-10,36
2012-11,39
2012-12,36
2013-01,46
2013-02,40
2013-03,43
2013-04,46
2013-05,42
2013-06,40
2013-07,43
2013-08,47
2013-09,47
2013-10,44
2013-11,46
2013-12,40
2014-01,42
2014-02,43
2014-03,44
2014-04,46
2014-05,47
2014-06,100
2014-07,43
2014-08,46
2014-09,52
2014-10,52
2014-11,45
2014-12,42
2015-01,43
2015-02,46
2015-03,45
2015-04,50
2015-05,50
2015-06,50
2015-07,50
2015-08,61
2015-09,71
2015-10,63
2015-11,64
2015-12,63
2016-01,60
2016-02,56
2016-03,68
2016-04,61
2016-05,57
2016-06,52
2016-07,50
2016-08,53
2016-09,68
2016-10,51
2016-11,62
2016-12,60
2017-01,58
2017-02,54
2017-03,57
2017-04,54
2017-05,54
2017-06,48
2017-07,47
2017-08,47
2017-09,46
2017-10,51
2017-11,57
2017-12,53
