year,cf poached,cg poached,cd poached,cm poached,ga poached,ke poached,mz poached,na poached,td poached,tz poached,ug poached,zm poached,zw poached
2006,1,0,38,1,0,37,1,2,40,11,4,27,4
2007,1,35,18,0,0,38,0,0,155,46,5,0,16
2008,25,10,69,0,4,173,14,0,81,66,5,7,19
2009,7,5,54,6,5,24,0,0,12,53,5,6,55
2010,8,2,76,3,17,160,72,2,36,157,6,26,23
2011,14,122,75,5,29,296,91,17,5,203,40,14,47
2012,30,14,90,7,28,449,136,6,0,194,29,14,48
2013,44,1,35,4,22,272,97,30,0,156,18,15,44
2014,26,19,145,2,20,136,145,27,0,82,15,41,19
2015,29,10,111,,,100,75,31,3,119,14,46,23
,,,,,,,,,,,,,
